Port Number,Service Name,Transport Protocol,Description,Source
1089,Foundation Fieldbus HSE,"tcp, udp",Foundation Fieldbus HSE,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
1090,Foundation Fieldbus HSE,"tcp, udp",Foundation Fieldbus HSE,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
1091,Foundation Fieldbus HSE,"tcp, udp",Foundation Fieldbus HSE,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
1541,Foxboro/Invensys Foxboro DCS Informix,"tcp, udp",Foxboro/Invensys Foxboro DCS Informix,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
2222,EtherNet/IP,udp,EtherNet/IP,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
3480,OPC UA Discovery Server,tcp,OPC UA Discovery Server,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
4000,Emerson/Fisher ROC Plus,"tcp, udp",Emerson/Fisher ROC Plus,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
5050,Telvent OASyS DNA,udp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
5051,Telvent OASyS DNA,udp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
5052,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
5065,Telvent OASyS DNA,tcp,Telvent OASyS DNA,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
5450,OSIsoft PI Server,tcp,OSIsoft PI Server,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
9600,OMRON FINS protocol,"tcp, udp",OMRON FINS protocol,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10307,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10311,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10364,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10365,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10407,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10409,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10410,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10412,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10414,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10415,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10428,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
10431,ABB Ranger 2003,tcp,ABB Ranger 2003,https://github.com/ITI/ICS-Security-Tools/tree/master/protocols
