Port Number,Service Name,Transport Protocol,Description,Source,System Type
0,,"tcp, udp",Reserved,IANA,IT
1,tcpmux,"tcp, udp",TCP Port Service Multiplexer,IANA,IT
4,,"tcp, udp",Unassigned,IANA,IT
5,rje,"tcp, udp",Remote Job Entry,IANA,IT
7,echo,"tcp, udp",Echo,IANA,IT
9,discard,"sctp, tcp, dccp, udp",Discard,IANA,IT
11,systat,"tcp, udp",Active Users,IANA,IT
13,daytime,"tcp, udp",Daytime,IANA,IT
15,,"tcp, udp",Unassigned [was netstat],IANA,IT
17,qotd,"tcp, udp",Quote of the Day,IANA,IT
18,msp,"tcp, udp",Message Send Protocol (historic),IANA,IT
19,chargen,"tcp, udp",Character Generator,IANA,IT
20,ftp-data,"sctp, tcp, udp","File Transfer [Default Data], FTP",IANA,IT
21,ftp,"sctp, tcp, udp","FTP, File Transfer Protocol [Control]",IANA,IT
22,ssh,"sctp, tcp, udp","SSH, The Secure Shell (SSH) Protocol",IANA,IT
23,telnet,"tcp, udp",Telnet,IANA,IT
24,,"tcp, udp",any private mail system,IANA,IT
25,smtp,"tcp, udp",Simple Mail Transfer,IANA,IT
27,nsw-fe,"tcp, udp",NSW User System FE,IANA,IT
29,msg-icp,"tcp, udp",MSG ICP,IANA,IT
31,msg-auth,"tcp, udp",MSG Authentication,IANA,IT
33,dsp,"tcp, udp",Display Support Protocol,IANA,IT
35,,"tcp, udp",any private printer server,IANA,IT
37,time,"tcp, udp",Time,IANA,IT
38,rap,"tcp, udp",Route Access Protocol,IANA,IT
39,rlp,"tcp, udp",Resource Location Protocol,IANA,IT
41,graphics,"tcp, udp",Graphics,IANA,IT
42,"nameserver, name","tcp, udp",Host Name Server,IANA,IT
43,nicname,"tcp, udp",Who Is,IANA,IT
44,mpm-flags,"tcp, udp",MPM FLAGS Protocol,IANA,IT
45,mpm,"tcp, udp",Message Processing Module [recv],IANA,IT
46,mpm-snd,"tcp, udp",MPM [default send],IANA,IT
48,auditd,"tcp, udp",Digital Audit Daemon,IANA,IT
49,tacacs,"tcp, udp",Login Host Protocol (TACACS),IANA,IT
50,re-mail-ck,"tcp, udp",Remote Mail Checking Protocol,IANA,IT
51,,,Reserved,IANA,IT
52,xns-time,"tcp, udp",XNS Time Protocol,IANA,IT
53,domain,"tcp, udp",Domain Name Server,IANA,IT
54,xns-ch,"tcp, udp",XNS Clearinghouse,IANA,IT
55,isi-gl,"tcp, udp",ISI Graphics Language,IANA,IT
56,xns-auth,"tcp, udp",XNS Authentication,IANA,IT
57,,"tcp, udp",any private terminal access,IANA,IT
58,xns-mail,"tcp, udp",XNS Mail,IANA,IT
59,,"tcp, udp",any private file service,IANA,IT
62,acas,"tcp, udp",ACA Services,IANA,IT
63,"whoispp, whois++","tcp, udp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++""., whois++",IANA,IT
64,covia,"tcp, udp",Communications Integrator (CI),IANA,IT
65,tacacs-ds,"tcp, udp",TACACS-Database Service,IANA,IT
66,"sql-net, sql*net","tcp, udp","Oracle SQL*NET, Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".",IANA,IT
67,bootps,"tcp, udp",Bootstrap Protocol Server,IANA,IT
68,bootpc,"tcp, udp",Bootstrap Protocol Client,IANA,IT
69,tftp,"tcp, udp",Trivial File Transfer,IANA,IT
70,gopher,"tcp, udp",Gopher,IANA,IT
71,netrjs-1,"tcp, udp",Remote Job Service,IANA,IT
72,netrjs-2,"tcp, udp",Remote Job Service,IANA,IT
73,netrjs-3,"tcp, udp",Remote Job Service,IANA,IT
74,netrjs-4,"tcp, udp",Remote Job Service,IANA,IT
75,,"tcp, udp",any private dial out service,IANA,IT
76,deos,"tcp, udp",Distributed External Object Store,IANA,IT
77,,"tcp, udp",any private RJE service,IANA,IT
78,vettcp,"tcp, udp",vettcp,IANA,IT
79,finger,"tcp, udp",Finger,IANA,IT
80,"www, www-http, http","sctp, tcp, udp","World Wide Web HTTP, HTTP",IANA,IT
81,,,Unassigned,IANA,IT
82,xfer,"tcp, udp",XFER Utility,IANA,IT
83,mit-ml-dev,"tcp, udp",MIT ML Device,IANA,IT
84,ctf,"tcp, udp",Common Trace Facility,IANA,IT
86,mfcobol,"tcp, udp",Micro Focus Cobol,IANA,IT
87,,"tcp, udp",any private terminal link,IANA,IT
88,kerberos,"tcp, udp",Kerberos,IANA,IT
89,su-mit-tg,"tcp, udp",SU/MIT Telnet Gateway,IANA,IT
90,dnsix,"tcp, udp",DNSIX Securit Attribute Token Map,IANA,IT
91,mit-dov,"tcp, udp",MIT Dover Spooler,IANA,IT
92,npp,"tcp, udp",Network Printing Protocol,IANA,IT
93,dcp,"tcp, udp",Device Control Protocol,IANA,IT
94,objcall,"tcp, udp",Tivoli Object Dispatcher,IANA,IT
